TotalDistance_km,Calories,VeryActiveHours,FairlyActiveHours,LightlyActiveHours,SedentaryHours
4.49,1922,0,0,4.65,19.35
5.15,2121,0.28,0.5,4.37,18.85
4.82,1997,0.13,0.2,5.13,18.53
6.4,2117,0.12,0.32,5.07,18.5
5.91,2116,0.23,0.25,5.52,18
3.57,1876,0.02,0.15,4.13,19.7
3.17,1788,0,0,3.7,20.3
9.08,2486,0.1,0.35,7.2,14.07
6.35,2094,0.33,0.42,4.55,18.7
4.55,2085,0.08,0.08,5.13,18.7
5.66,2173,0,0,6.58,17.42
5.35,2225,0.3,0.17,5.67,16.55
6.05,2223,0.2,0.68,4.72,17.7
6.32,2098,0.45,0.23,5.2,18.12
6.25,2185,0.02,0.18,6.12,16.42
5.18,1918,0.25,0.48,3.28,18.27
6.82,2105,0.12,0.48,4.88,18.52
2.27,1692,0,0,3.17,18.68
5.22,2066,0,0,6.38,17.62
3.48,1953,0.35,0.17,3.95,19.53
3.46,1842,0,0,4.2,19.8
7.01,2262,0.23,0.13,6.17,17.47
2.48,1722,0,0,3.37,20.63
5.44,1973,0.38,0.27,3.88,18.6
4.33,2666,1.1,0.58,3.97,16.98
7.57,2223,0.1,0.5,5.65,17.75
4.25,1889,0.18,0.3,3.67,19.85
6.02,2131,0.07,0.52,5.4,18.02
4.17,1452,0,0,4.12,12.27
5.88,2947,0,0,4.38,11.97
5.58,2898,0,0,4.3,12.95
6.37,2984,0,0,4.52,12.87
5.28,2896,0.02,0.13,4.27,15.73
9.03,3328,0.05,0.4,5.58,9.27
10.29,3394,0.2,1.1,5.03,7.28
7.38,3013,0.37,0.5,3.18,14.83
5.44,2812,0.17,0.13,2.98,12.62
7.13,3061,0.03,0.48,4.33,11.95
5.3,2729,0.07,0.68,2.4,15.02
1.35,2241,0,0,1.2,22.35
12.27,3691,0.15,1.1,6.8,7.82
12.22,3538,0.25,1.58,4.68,9.03
7.43,3064,0.1,0.25,4.5,12.17
4.95,2784,0.02,0.13,3.6,12.75
5.72,2908,0.02,0.27,3.97,12.22
7.32,3033,0.23,0.15,3.87,12.3
8.05,3165,0.2,0.32,4.45,11.53
8.23,3115,0.07,0.6,4.38,12.13
0,2017,0,0,0,24
5.92,2859,0.08,0.67,3.25,18.85
7.67,3145,0,0,5.22,12.15
6.62,3004,0.07,0.25,4.18,12.62
6.99,3006,0.13,0.08,4.02,12.42
5.63,2859,0.02,0.27,3.45,11.37
11.65,3683,0.08,0.77,7.32,9.62
10.43,3287,0.15,2.08,3.2,16.98
6.68,2990,0,0.2,4.22,12.43
8.61,3172,0.02,0.62,4.37,11.68
7.96,3069,0.17,0.68,3.92,13.07
2.23,1240,0,0,1.13,4.02
7.57,2026,0.32,0.22,4.62,12.78
3.16,1718,0,0,3.77,10.78
11.12,2324,1.02,0.68,4.27,11.55
10.86,2254,0.97,0.63,3.98,11.48
3.77,1831,0,0,4.8,8.68
0.43,1397,0,0,0.77,15.72
2.43,1683,0,0,3.43,10.37
10.11,2284,1.15,0.47,4.15,12.6
1.77,1570,0,0,2.47,9.97
8.06,2066,0.78,0.7,2.95,13.35
7.63,2105,0.42,0.27,4.5,13.02
2.69,1776,0,0,4.53,7.38
1.18,1507,0,0,1.73,9.7
7.19,2033,0.85,0.18,3.35,12.2
7.76,2093,0.67,0.3,3.97,12.5
6.88,1922,0.27,0.27,3.43,12.42
7.63,1999,0.82,0.22,2.75,12.12
8.33,2169,0.77,0.25,4.5,11.82
0.78,1463,0,0,1.4,8.43
3.37,1747,0,0,3.95,7.27
6.38,1996,0.38,0.15,3.78,12.07
8.39,2116,0.43,0.48,4.12,13.53
2.77,1698,0,0,3.73,10.85
9.51,2156,0.73,0.48,4.02,11.53
6.29,1916,0.35,0.15,3.82,12.68
1.22,1494,0,0,1.6,15.03
4,1762,0.05,0.13,3.5,8.42
7.58,2272,0.98,0.37,4.18,11.12
10.71,2335,1.02,0.67,4.42,11.78
3.22,1693,0,0,3.25,10.47
2.04,741,0.13,0.1,0.8,3.7
6.08,3405,1.43,0.27,2.33,12.13
3.79,2551,0.25,0.18,2.4,12.93
6.42,4022,1.97,0.5,2.93,11.03
9.08,4005,1.92,0.9,3.32,11.58
10.66,4274,3.07,0.93,2.63,7.87
9.14,4552,3.33,0.62,2.65,8.75
7.39,3625,1.9,0.53,2.17,10.38
9.42,3501,1.8,0.38,1.85,12.22
6.22,3192,1.45,0.27,1.88,12.88
8.09,4018,1.83,1.23,2.92,11.17
6.85,3329,1.03,0.5,3.33,13.72
5.71,3152,0.4,0.4,3.72,10.45
11.78,4392,3.5,1.08,2.35,7.08
4.78,3374,1.02,0.63,3.57,12.38
3.98,3088,0.63,0.53,3.02,12.65
5.14,3294,1.05,0.27,3.17,12.88
7.43,3580,1.65,0.85,2.35,11.53
5.92,3544,1.62,0.6,2.75,12.32
9.24,4501,3.45,0.75,2.72,10.35
9.99,4546,3.23,1.2,2.97,8.32
5.56,3014,0.62,0.33,3.92,12.2
8.25,3795,1.62,0.13,3.53,9.67
3.89,2755,0.42,0.15,2.35,10.52
5.64,3004,0.75,0.35,2.38,19.22
3.7,2643,0.68,0.27,1.32,21.73
0,1819,0,0,0,24
0,1819,0,0,0,24
2.56,2489,0.57,0.18,1.17,18.32
6.65,3841,1.73,0.62,3.23,10.65
3.04,1665,0.75,0.25,1.05,4.28
0,1496,0,0,0,24
0,1496,0,0,0,24
0,1496,0,0,0,24
10.59,2865,0,0.1,8.55,15.35
10.91,2828,0.12,0.25,8.63,8.37
5.4,2225,0,0,5.2,11.7
3.91,2018,0,0,4.02,12.65
8.41,2606,0,0,8,7.08
8.02,2536,0.43,0.17,5.82,9.78
15.01,4900,0.18,0.32,4.9,9.65
6.2,2409,0,0,6.7,6.88
8.68,2651,0,0,8.53,7.8
5.76,2305,0,0,6.03,11.85
0,1497,0,0,0,24
7.21,2450,0,0.12,5.87,17.95
7.11,2576,0,0,7.63,6.95
2.6,1879,0,0,2.35,12.63
7.24,2560,0,0,7.68,7.98
5.28,2275,0,0,5.72,17.33
6.73,2361,0,0,6.62,8.75
3.73,2044,0,0,3.93,20.07
0,1496,0,0,0,24
2.26,1902,0,0,2.6,21.32
7.4,2636,0,0,8.12,7.98
2.68,1838,0,0,2.22,11.22
5.54,2469,0,0,6.87,7.6
5.53,2250,0,0,5.3,8.62
3.38,1248,0,0,3.28,2.08
3.45,2560,0,0,3.32,20.68
5.4,2905,0,0,5.83,18.17
5.8,2952,0,0,6.05,17.95
7.18,2896,0,0,5.47,18.53
6.28,2783,0,0,4.3,19.7
5.94,3171,0.52,0.2,3.75,19.53
5.21,2766,0,0,4.52,19.48
5.4,2839,0,0,5.35,18.65
4.81,2701,0,0,4.3,19.7
0,2060,0,0,0,24
4.72,2796,0,0,5.03,18.97
0,2664,0.55,0,0,23.45
4.46,2703,0,0,4.3,19.7
5.9,2771,0.13,0.05,4.15,19.67
0,2060,0,0,0,24
4.21,2743,0,0,4.78,19.22
4.33,2687,0,0,4.25,19.75
0,2060,0,0,0,24
5.1,2843,0,0,5.4,18.6
7.44,3327,0.13,1.58,4.7,17.58
5.13,2725,0,0,4.47,19.53
4.57,2671,0,0,4,20
4.41,2718,0,0,4.53,19.47
4.79,2682,0,0,3.98,20.02
4.62,2806,0,0,5.08,18.92
4.17,2613,0,0,3.78,20.22
5.83,2712,0,0,4.18,19.82
4.75,2175,0,0,4.4,13.33
0,0,0,0,0,24
0,1841,0,0,0,24
2.91,2400,0.28,0.3,1.42,17.55
3.7,2507,0.23,0.4,1.75,14.38
0.92,2127,0,0,0.97,16.27
3.39,2225,0.6,0.3,0.15,22.95
1.79,2067,0.08,0.4,0.32,23.2
5.95,2798,0.5,0.52,2.43,20.55
0,1841,0,0,0,24
7.72,3727,1.17,1.88,2.97,17.98
0,1841,0,0,0,24
0.46,1922,0,0,0.33,23.67
0,1841,0,0,0,24
1.54,2053,0.18,0.3,0.18,23.33
4.64,2484,0.55,0.22,1.53,21.7
5.27,2584,0.7,0.5,0.78,22.02
0,1841,0,0,0,24
0.5,1993,0.03,0.22,0.25,23.5
0,1841,0,0,0,24
1.79,2280,0.05,0.15,1.4,22.4
1.78,2319,0.15,0.57,0.83,22.45
0,1841,0,0,0,24
0.01,1843,0,0,0.02,23.98
0,1841,0,0,0,24
0,1841,0,0,0,24
3.37,2496,0.2,0.58,1.25,21.97
1.41,1032,0.03,0.08,0.82,9.18
6.74,1994,0.83,0.23,3.15,13.27
3.74,1718,0.13,0.4,2.37,9.13
1.03,1466,0,0,1.43,14.37
3.68,1756,0,0,3.62,13.95
8.74,2173,0.83,0.05,4.67,12.35
6.71,2027,0.08,0.22,4.92,10.57
7.54,2039,0.22,0.7,3.97,11.48
7.1,2046,0.58,0.68,3.25,10.98
9.55,2174,0.8,0.07,4.95,10.65
9.71,2179,0.88,0.45,3.57,11.8
7.09,2086,0.5,0.55,4,10.98
13.24,2571,0.97,0.68,5.78,8.07
3.32,1705,0,0,3.32,12
9.27,2194,0.58,0.52,4.7,10.62
6.9,2012,0.6,0.12,4.23,11.33
6.82,2034,0.12,0.63,4.65,11.62
8.35,2182,0.63,0.13,4.8,10.35
7.11,2254,0.2,0.25,6.15,10.75
6.66,2002,0.53,0.27,3.95,12.18
3.61,1740,0,0,3.58,12.03
8.54,2162,0.3,0.65,5.22,10.92
8.12,2072,0.35,0.6,4.45,10.9
6.71,2086,0.25,0.6,4.73,11.38
6.96,2066,0.23,0.37,5.08,9.85
3.91,1850,0,0,4.98,11.95
4.5,1947,0,0,5.47,12.42
2.77,1659,0,0.23,2.52,11.82
8.72,2105,0.72,0.35,3.85,10.12
10.21,2361,1.03,0.57,4.58,10.43
4.44,1855,0.4,0.12,3.32,11.82
2.37,928,0,0.13,1.75,2.12
10.29,2937,0.88,0.13,5.92,17.07
9.65,2742,0.93,0.37,4.35,18.35
8.24,2668,0.57,0.1,5.07,18.27
3.53,2098,0,0,3.37,20.63
3.1,2076,0,0,3.38,19.25
5.39,2383,0,0,5.08,18.92
10.98,2832,0.8,0.52,4.73,17.95
10.48,2812,0.88,0.28,5.07,17.77
11.31,3096,1,0.55,5.78,16.67
9.19,2763,0.5,0.57,5.45,17.48
10.24,2889,1.07,0.83,4.35,17.75
5.41,2284,0.03,0.42,3.72,19.83
7.42,2667,0,0,6.98,17.02
13.34,3055,0.85,0.4,6.32,16.43
10.1,2939,0.27,0.37,7.07,16.3
10.22,2830,0.83,0.2,5.62,17.35
10.12,2836,0.27,0.27,6.68,16.78
14.3,3180,0.92,0.7,6.37,16.02
2.52,2051,0,0,3.33,20.67
3.75,2225,0,0,3.95,19.03
9.18,2642,1.07,0.23,4.17,18.53
10.87,2976,0.97,0.52,5.5,17.02
0,1557,0,0,0,24
11.1,2933,0.88,0.38,5.28,17.45
7.67,2553,0.73,0.22,4.12,18.93
0,120,0,0,0,1.85
8.41,2772,0.98,0.1,2.55,12.42
3.62,2516,0.52,0.43,2.58,12.4
6.12,2734,0.58,0.53,3.15,13.12
5.67,2395,0.5,0.35,2.32,14.4
0.01,1635,0,0,0.05,23.95
0,1629,0,0,0,24
6.71,2743,1.02,0.85,1.9,18.93
7.29,2944,1.12,1.15,2.07,11.18
10.64,2997,1.45,0.22,2.42,13.28
6.18,2463,0.32,0.1,3.43,12.63
6.53,2846,0.97,0.98,2.55,12.7
1.81,1965,0,0,1.5,22.5
2.16,2049,0,0,2.08,9.43
6.82,2752,1.15,0.65,2.15,11.77
7.07,2781,1.17,0.55,2.2,12.1
8.34,2693,0.92,0.1,2.42,13.82
7.8,2862,0.9,0.8,2.68,13.5
4.95,2616,0.4,0.6,3.03,19.97
9.41,2995,0.7,0.28,5.13,9.73
8.07,2730,0.5,0.25,4.3,11.42
6.81,2754,1.1,0.43,2.32,12.28
6.76,2754,0.95,0.6,2.53,12.68
8.31,2655,0.75,0.2,2.25,14.05
5.6,2386,0.4,0.23,2.48,20.88
8.38,2924,1.4,0.58,2.57,13.9
8.48,2739,0.33,0.7,3.48,10.35
7.1,2534,0.53,0.45,2.45,11.58
9.11,2960,1.12,0.83,2.85,12.38
10.79,2800,1.2,0.38,1.77,19.7
6.52,2735,0.95,0.67,2.13,12.62
2.56,1199,0.08,0.07,0.97,5.72
14.12,3186,1.93,0.13,2.05,19.88
13.35,3140,1.58,0.2,2.6,19.62
15.97,3411,1.98,0.08,3.22,18.72
16.24,3410,2.2,0.13,2.63,19.03
11.11,2867,1.6,0.1,1.38,20.92
13.69,3213,1.85,0.35,3.25,18.55
12.66,3133,1.7,0.1,3.25,18.95
12.48,3114,1.5,0.12,3.18,19.2
12.19,3043,1.48,0.08,2.63,11.58
12.51,3103,1.67,0.1,2.83,19.4
8.29,2655,1,0.05,1.95,21
17.19,3554,2.08,0.23,3.72,12.35
17.95,3577,2.15,0.55,3.03,18.27
15.69,3403,1.97,0.15,3.48,18.4
9.62,2846,1.13,0.08,3.08,19.7
9.82,2852,1,0.17,3.05,19.78
12.4,3062,1.5,0.15,2.55,19.8
9.65,2794,0.97,0.13,2.65,20.25
5.59,2408,0.45,0.02,2.18,21.35
0.85,1886,0,0,0.85,23.15
1.43,1988,0,0,1.58,22.42
11.9,3023,1.45,0.37,2.75,19.43
11.15,2918,1.48,0.13,2.05,20.33
11.51,2950,1.55,0.15,2.17,20.13
11,2859,1.5,0.25,1.5,20.75
15.67,3331,2.02,0.33,2.47,17.93
17.65,3589,2.08,0.23,3.8,17.88
9.38,2765,1.1,0.2,2.47,20.23
11.36,2926,1.6,0.17,1.92,20.32
9.4,2809,1,0.12,3.07,19.82
3.91,1505,0.47,0.07,0.65,13.98
7.16,2044,0.67,0.03,2.57,20.73
6.1,1935,0.58,0.18,1.6,21.63
3.46,1705,0.48,0.27,0.55,22.7
1.77,1632,0,0,1.75,22.25
6.14,1880,0.1,0.85,1.92,21.13
7.91,2112,0.68,0.08,2.62,20.62
3.48,1829,0.27,0.27,2.17,21.3
2.78,1763,0,0,2.73,21.27
4.27,1931,0.08,0.3,3.6,20.02
8.56,2218,0.82,0.33,2.87,19.98
1.87,1651,0,0,2,22
6.26,2132,0.5,0.43,3.18,19.88
7.13,1976,0.68,0.07,1.37,21.88
4.51,1909,0.12,0.9,1.97,21.02
3.04,1813,0.32,0.23,1.8,21.65
8.18,2008,0.75,0.08,1.73,21.43
1.8,1580,0.18,0.27,0.33,23.22
4.26,1854,0.27,0.23,2.27,20.95
0,0,0,0,0,24
6.05,3635,1.08,0.25,2.6,12.05
9.82,4079,1.93,0.23,2.82,11.33
10.56,4163,2.05,0.35,2.9,11.65
11.47,3666,1,0.38,3.17,12.15
8.89,3363,1.07,0.35,2.37,9.38
1.69,2572,0,0,1.55,9.98
10.81,4157,1.95,0.17,2.9,12
10.36,4092,2,0.32,2.57,12.28
7.44,3787,1.37,0.13,2.82,12.72
12.01,4236,2.28,0.27,2.42,11.28
9.67,4044,1.88,0.2,2.65,12.82
4.53,2908,0.32,0.17,2.27,12.33
2.94,2741,0,0,2.25,12.23
9.84,4005,1.95,0.27,2.35,11.53
12.85,3763,1.5,0.3,2.68,9.88
5.84,3061,0.07,0.07,3.2,11.27
4.3,2884,0.18,0.17,2.32,11.85
4.9,2982,0.05,0.12,2.87,12.78
2.34,2660,0,0,2.02,13
9.06,3369,1.18,0.17,2.12,11.15
4.81,3491,1.05,0.07,2.37,13.37
6.91,3784,1.18,0.33,3.25,13.7
6.24,3110,0.32,0.17,2.78,11.33
6.79,3783,1.1,0.05,3.57,12.73
5.59,3644,1.23,0.08,2.77,13.85
3.54,2799,0,0,2.63,14.18
2.33,2685,0,0,2.32,10.35
6.65,3721,1.18,0.22,2.85,12.87
5.22,3586,1.05,0.22,2.53,14
7.25,3788,1.2,0.17,3.07,12.72
3.62,1976,0.13,0.1,1.7,7.22
3.91,2650,0,0.12,3.27,20.62
4.35,2654,0.03,0.38,2.72,20.87
2.45,2443,0,0,2.23,21.77
2.68,2505,0,0,1.08,22.92
4.15,2693,0,0,0,24
2.35,2439,0,0,0,24
3.01,2536,0.07,0.37,1.75,21.82
4.44,2668,0.12,0.17,2.77,20.95
4.11,2647,0,0.45,2.78,20.77
6.66,2883,0.58,0.3,2.63,20.48
6.78,2944,0.07,0.9,3.53,19.5
7.35,3012,0.12,0.73,3.97,19.18
6.46,2889,0.03,0.73,3.43,19.8
3.51,2547,0.3,0.1,2.03,21.57
8.19,3093,0.02,1.52,3.57,18.9
9.73,3142,1.28,0.08,2.15,20.48
4.82,2757,0,0.47,3.38,20.15
11.83,3513,0.77,1.12,4.3,17.82
7.87,3164,0.03,0.47,5.28,18.22
3.52,2596,0.17,0.03,1.95,21.85
6.61,2894,0,0,0,24
9.37,3212,0,0,0,24
2.8,2516,0,0,0,24
9.69,3266,0,0,1.17,22.83
4.56,2683,0.03,0.37,2.77,20.83
4.77,2810,0,0,4.17,19.83
7.19,2940,0.05,1.2,3.03,19.72
7.7,2947,1.1,0.07,1.83,21
6.43,2846,0.15,0.72,2.7,20.43
6.79,2804,0.08,1.18,2.95,18.43
0,0,0,0,0,24
1.64,2044,0,0,1.93,13.85
0.84,1934,0,0,1.37,13.43
0.78,1963,0,0,1.4,14.22
1.59,2009,0,0,2.1,15.62
0.16,1721,0,0,0.2,23.8
0,1688,0,0,0,24
0,1688,0,0,0,24
0,1688,0,0,0,24
2.01,2188,0,0.17,2.32,12.4
0.09,1720,0,0,0.15,23.85
2.6,2419,0.02,0.33,3.25,13.62
3.36,2748,0.13,0.75,3.87,13.25
0.26,1799,0.05,0.13,0.32,23.5
0,1688,0,0,0,24
0.85,1928,0,0,1.33,22.67
1.13,2067,0,0,1.87,15
3.94,2780,0,0,5.17,11.9
5.35,3101,0.1,0.23,6.33,10.57
4.59,2896,0.17,0.33,5.02,12.48
1.04,1962,0,0,1.32,13.9
1.17,2015,0,0,1.68,15.27
1.55,2297,0,0,2.6,12.32
1.46,2067,0,0,2.15,14.13
0,1688,0,0,0,24
0,1688,0,0,0,24
0,1688,0,0,0,24
0,1688,0,0,0,24
0,1688,0,0,0,24
0,57,0,0,0,0.8
20.4,3921,1.42,0.12,5.2,17.27
9.58,3566,1.8,0.3,3.6,18.3
18.98,3793,1.13,0.22,4.97,17.68
7.17,3934,1.77,0.02,4.68,17.53
25.29,4547,1.57,0.48,7.15,14.8
8.87,3545,0.97,0.25,5.12,17.67
8.67,2761,0.48,0.08,3.18,20.25
17.4,3676,1.37,0.22,3.57,18.85
18.11,3679,1.22,0.32,3.75,18.72
17.62,3659,1.37,0.22,3.77,18.65
16.31,3427,1.02,0.03,3.93,19.02
7.43,3891,1.7,0.1,5,17.2
15.74,3455,1.07,0.02,3.78,19.13
8.74,3802,1.88,0.13,3.63,18.35
8.43,2860,0.37,0.05,4.3,19.28
20.65,3808,1.55,0.13,3.92,18.4
11.3,3060,0.97,0.13,3.85,19.05
7.39,2698,0.3,0.08,3.5,20.12
26.72,4398,2.07,0.07,3.72,18.15
8.32,2786,0.6,0.2,2.77,20.43
3.64,2189,0,0,1.75,22.25
8.21,2817,0.32,0.05,3.82,19.82
16.3,3477,1.1,0.13,3.53,19.23
10.67,3052,1.12,0.25,3.13,19.5
19.34,4015,1.6,0.28,3.87,18.25
8.13,4142,1.75,0.47,4.52,17.27
8.11,2847,0.28,0.07,4.08,19.57
18.25,3710,1.22,0.32,3.62,18.85
8.15,2832,0.3,0.18,3.73,19.78
19.56,3832,1.47,0.2,3.55,18.78
6.12,1849,0.38,0.02,2.28,12.83